club,type,ageCategory,venueAvailability
Leverkusen,QB,SEN,all
Reutlingen,QB,SEN,all
Leverkusen,QB,U17,all
Heidenheim,QB,U17,all
Leipzig,QB,U17,2026-09-19;2026-09-26
Solingen,QB,U17,all
Offenbach,QB,U20,all
Heidelberg,QB,U20,all
Leverkusen,QB,U20,all
Osnabrück,QB,U20,all
Leverkusen,CHALLENGE,U15,all
Leipzig,CHALLENGE,U15,all
Bonn,CHALLENGE,U15,all
Frankfurt,CHALLENGE,U15,all
Waldkirch,CHALLENGE,U15,all
Osnabrück,CHALLENGE,U15,all
Erfurt,DM,VET,all
Rüsselsheim,DM,U17,all
Rüsselsheim,DM,U13,all
Leverkusen,DM,U17,all
Leverkusen,DM,U13,all
Leverkusen,DM,U20,all
Leverkusen,DM,U15,all
Rüsselsheim,DM,U20,all
Rüsselsheim,DM,U15,all
